#Ratio	y(u)	y	uTot	uA*	uB1	uB2	uGRS	birge	ndof	days
PTB-In1/PTB-Al+	-1.727(13)e-15	-1.727e-15	1.3e-17	8.5e-18	1.0e-17	1.0e-17	2.0e-17	0.77	1	2.0
PTB-In1/NPL_YbE3	-1.927(12)e-15	-1.927e-15	1.2e-17	4.2e-18	1.1e-17	1.1e-17	2.0e-17	0.97	10	11.0
PTB-In1/PTB-Yb1E3	-1.953(12)e-15	-1.953e-15	1.2e-17	6.0e-18	1.1e-17	1.1e-17	2.0e-17	1.68	15	16.0
PTB-In1/INRIM_ITYb1	-1.817(23)e-15	-1.817e-15	2.3e-17	4.7e-18	2.3e-17	2.3e-17	2.0e-17	0.59	6	7.0
PTB-In1/NPL_Sr1	-5.268(50)e-15	-5.268e-15	5.0e-17	4.3e-17	2.6e-17	2.6e-17	2.0e-17	6.37	3	4.0
PTB-In1/OBSPARIS_Sr2	-1.172(43)e-15	-1.172e-15	4.3e-17	3.8e-17	2.0e-17	2.0e-17	2.0e-17	nan	0	1.0
PTB-In1/OBSPARIS_SrB	-1.95(10)e-15	-1.952e-15	1.0e-16	1.5e-17	1.0e-16	1.0e-16	2.0e-17	nan	0	1.0
PTB-In1/PTB-Sr3	-1.903(11)e-15	-1.903e-15	1.1e-17	3.5e-18	1.1e-17	1.1e-17	2.0e-17	1.24	10	11.0
PTB-In1/PTB-Sr4	-1.951(12)e-15	-1.951e-15	1.2e-17	4.7e-18	1.1e-17	1.1e-17	2.0e-17	0.78	6	7.0
PTB-Al+/NPL_YbE3	-2.109(82)e-16	-2.109e-16	8.2e-18	7.2e-18	3.9e-18	3.9e-18	2.0e-17	1.30	5	6.0
PTB-Al+/PTB-Yb1E3	-2.213(61)e-16	-2.213e-16	6.1e-18	5.4e-18	2.7e-18	2.7e-18	2.0e-17	1.35	5	6.0
PTB-Al+/INRIM_ITYb1	-1.21(21)e-16	-1.209e-16	2.1e-17	3.9e-18	2.0e-17	2.0e-17	2.0e-17	0.71	2	3.0
PTB-Al+/NPL_Sr1	-3.401(26)e-15	-3.401e-15	2.6e-17	8.1e-18	2.5e-17	2.5e-17	2.0e-17	0.20	1	2.0
PTB-Al+/OBSPARIS_SrB	-2.2(1.0)e-16	-2.199e-16	1.0e-16	6.3e-18	1.0e-16	1.0e-16	2.0e-17	0.22	3	4.0
PTB-Al+/PTB-Sr3	-1.826(46)e-16	-1.826e-16	4.6e-18	3.4e-18	3.1e-18	3.1e-18	2.0e-17	1.38	5	6.0
PTB-Al+/PTB-Sr4	-2.303(50)e-16	-2.303e-16	5.0e-18	4.1e-18	2.9e-18	2.9e-18	2.0e-17	0.95	2	3.0
NPL_YbE3/PTB-Yb1E3	-1.09(50)e-17	-1.088e-17	5.0e-18	1.6e-18	4.7e-18	4.7e-18	2.0e-17	0.93	23	24.0
NPL_YbE3/INRIM_ITYb1	1.03(21)e-16	1.026e-16	2.1e-17	2.3e-18	2.1e-17	2.1e-17	2.0e-17	0.81	12	13.0
NPL_YbE3/NPL_Sr1	-3.355(32)e-15	-3.355e-15	3.2e-17	2.1e-17	2.4e-17	2.4e-17	2.0e-17	8.47	5	6.0
NPL_YbE3/OBSPARIS_Sr2	6.63(43)e-16	6.630e-16	4.3e-17	4.0e-17	1.8e-17	1.8e-17	2.0e-17	3.33	1	2.0
NPL_YbE3/OBSPARIS_SrB	-0.3(1.0)e-16	-3.472e-17	1.0e-16	1.9e-18	1.0e-16	1.0e-16	2.0e-17	0.24	13	14.0
NPL_YbE3/PTB-Sr3	2.56(52)e-17	2.563e-17	5.2e-18	1.6e-18	5.0e-18	5.0e-18	2.0e-17	1.02	17	18.0
NPL_YbE3/PTB-Sr4	-2.34(53)e-17	-2.337e-17	5.3e-18	2.2e-18	4.8e-18	4.8e-18	2.0e-17	1.04	10	11.0
PTB-Yb1E3/INRIM_ITYb1	1.11(21)e-16	1.108e-16	2.1e-17	1.9e-18	2.1e-17	2.1e-17	2.0e-17	0.67	11	12.0
PTB-Yb1E3/NPL_Sr1	-3.389(32)e-15	-3.389e-15	3.2e-17	2.0e-17	2.5e-17	2.5e-17	2.0e-17	7.79	5	6.0
PTB-Yb1E3/OBSPARIS_Sr2	5.5(1.8)e-16	5.486e-16	1.8e-16	1.8e-16	1.8e-17	1.8e-17	2.0e-17	8.02	1	2.0
PTB-Yb1E3/OBSPARIS_SrB	-0.1(1.0)e-16	-1.460e-17	1.0e-16	2.1e-18	1.0e-16	1.0e-16	2.0e-17	0.19	13	14.0
PTB-Yb1E3/PTB-Sr3	3.50(43)e-17	3.500e-17	4.3e-18	1.0e-18	4.2e-18	4.2e-18	2.0e-17	0.60	22	23.0
PTB-Yb1E3/PTB-Sr4	-1.56(44)e-17	-1.562e-17	4.4e-18	1.9e-18	3.9e-18	3.9e-18	2.0e-17	1.00	10	11.0
NPL_Sr1/INRIM_ITYb1	3.500(33)e-15	3.500e-15	3.3e-17	9.3e-18	3.1e-17	3.1e-17	2.0e-17	1.44	1	2.0
OBSPARIS_Sr2/INRIM_ITYb1	6.216(46)e-15	6.216e-15	4.6e-17	3.8e-17	2.7e-17	2.7e-17	2.0e-17	1.80	2	3.0
OBSPARIS_SrB/INRIM_ITYb1	6.74(18)e-15	6.744e-15	1.8e-16	1.4e-16	1.0e-16	1.0e-16	2.0e-17	3.29	1	2.0
PTB-Sr3/INRIM_ITYb1	7.4(2.1)e-17	7.417e-17	2.1e-17	7.3e-19	2.1e-17	2.1e-17	2.0e-17	0.69	10	11.0
PTB-Sr4/INRIM_ITYb1	1.27(21)e-16	1.266e-16	2.1e-17	7.7e-19	2.1e-17	2.1e-17	2.0e-17	0.48	13	14.0
NPL_Sr1/OBSPARIS_SrB	3.13(10)e-15	3.128e-15	1.0e-16	7.4e-18	1.0e-16	1.0e-16	2.0e-17	0.01	1	2.0
NPL_Sr1/PTB-Sr3	3.454(28)e-15	3.454e-15	2.8e-17	1.3e-17	2.5e-17	2.5e-17	2.0e-17	7.95	5	6.0
NPL_Sr1/PTB-Sr4	3.388(27)e-15	3.388e-15	2.7e-17	1.2e-17	2.4e-17	2.4e-17	2.0e-17	4.11	2	3.0
OBSPARIS_Sr2/PTB-Sr3	6.23(16)e-15	6.232e-15	1.6e-16	1.6e-16	1.8e-17	1.8e-17	2.0e-17	2.81	1	2.0
PTB-Sr4/OBSPARIS_Sr2	-2.93330907327(37)e-07	-2.933e-07	3.7e-17	3.3e-17	1.8e-17	1.8e-17	2.0e-17	3.92	1	2.0
OBSPARIS_SrB/PTB-Sr3	6.79(11)e-15	6.787e-15	1.1e-16	4.1e-17	1.0e-16	1.0e-16	2.0e-17	2.16	6	7.0
OBSPARIS_SrB/PTB-Sr4	6.62(18)e-15	6.618e-15	1.8e-16	1.5e-16	1.0e-16	1.0e-16	2.0e-17	3.01	1	2.0
PTB-Sr3/PTB-Sr4	-5.19(43)e-17	-5.195e-17	4.3e-18	1.3e-18	4.1e-18	4.1e-18	2.0e-17	1.56	10	11.0
